"site","niche.overlap.HL","niche.overlap.LL","mean.number.of.shared.partners.HL","mean.number.of.shared.partners.LL","NODF","weighted.NODF","Shannon.diversity","H2","ind_nestedness_laca","betwenness_centrality_laca","closeness_centrality_laca","NODfc","Removal_Effort","Site","Year","LACA_Pollinator_Richness","LACA_n","Network_Plant_Richness","Total_Pollinator_Richness","Total_n","LACA_abundance","Site_Plant_Richness","Grass_Cover"
"Goatgrass_2024",0.45696205486603,0.0614049499480009,0.702104097452935,0.576923076923077,39.0752502679108,25.0449567422045,3.15759830914716,0.625990348504671,5.86431014,865.924386,0.013513514,4.117168,"High","Goatgrass",2024,32,331,13,43,463,1e+05,35,10.490909
"South_Goatgrass_2024",0.598959757472929,0.0626043049260769,0.772307692307692,1,39.3034825870647,16.9651741293532,2.14981147517941,0.573137810872473,3.52483087,397.4,0.023809524,3.505209,"High","South_Goatgrass",2024,22,158,5,26,179,1183.33333333333,25,NA
"Felch_2024",0.288215225373695,0.055288985823337,0.288359788359789,0.1,2.83505154639175,2.83505154639175,2.90728228056195,0.946854659660173,-2.677141,45,0.1,0.589139,"Moderate","Felch",2024,10,35,5,28,83,304.333333333333,17,NA
"Aikawa_2024",0.202200693938196,0.25030957438149,0.291005291005291,0.678571428571428,14.7009148486981,5.76589256392212,3.03103119816551,0.585522887197948,-0.48155573,133,0.014705882,3.511476,"Moderate","Aikawa",2024,7,20,8,28,121,84.4,29,38.1
"Anu_2024",0.45250961501934,0.173180248663642,0.940199335548173,1.33333333333333,48.6306314260982,29.9516827039763,3.41026881597238,0.519183352181986,4.7451768,766.421708,0.01010101,2.872454,"Low","Anu",2024,27,294,13,43,877,50575,NA,NA
"Rock_2023",0.254210618846695,0.270192307692308,0.533333333333333,0.533333333333333,36.6666666666667,15,2.27396571641925,0.370584755700801,0.1872892,2,0.04761905,2.313175,"Low","Rock",2023,2,2,7,6,17,1,33,41.5849056603774
"Quarry1_2024",0.436014265741914,0.730215910582551,0.609195402298851,1.86666666666667,30.989417989418,16.494708994709,2.74963016072428,0.247754488272359,2.0316308,435.000794,0.014492754,2.160138,"Low","Quarry_1",2024,21,153,7,33,266,891.666666666667,21,44.5
"Quarry2_2024",0.374235384061868,0.279702244238685,0.47,0.866666666666667,20.6481481481481,11.6666666666667,2.98677785906066,0.495921848092956,0.5851217,295.66667,0.017241379,2.830418,"Low","Quarry_2",2024,15,68,6,25,108,160.5,15,24.064516
"Quarry5_2024",0.331351688267315,0.36053312099383,0.560455192034139,1.32142857142857,34.5565435476516,18.3795029639763,2.75932076082966,0.510163446738251,2.4651462,371.7829,0.01,2.643509,"Low","Quarry_5",2024,16,94,8,38,468,509.833333333333,18,24.75
"Upper_Grid_1_2023",0.48337679585177,0.124780379821628,0.758893280632411,0.694444444444444,44.2214532871972,26.2283737024221,3.18314680676034,0.415351789838285,4.1847594,291.135714,0.02173913,3.803758,"Low","Upper_Grid_1",2023,17,70,9,23,108,4346,39,24.6571428571429
"Upper_Grid_2_2023",0.214810991700424,0.30123760245469,0.318181818181818,0.422222222222222,23.8738738738739,16.0660660660661,1.39113521908464,0.460538542265297,0.65293043,14,0.02380952,3.324887,"Low","Upper_Grid_2",2023,2,2,10,12,125,40,25,86.2
"Coyote_2024",0.162247496642963,0.0889737178949475,0.261904761904762,0.333333333333333,16.490514905149,9.60027100271003,3.10645681280834,0.594977124884485,1.37093212,121.5,0.01754386,3.271481,"Low","Coyote",2024,7,11,10,21,58,115.5,33,NA
