Scenario,Output,AETR,LACA,HECO,CAPA,HOVI,TRAL,GITR,NAJE,DICA,UNK,AGHE,DEVA,GRCA,LOHO,RACA,ERNU,LIBI,LOWR,TRFU,VIDO,SUM,Mean
Goatgrass,sVisitsP,0,70.10096287,16.53757191,51.70972407,26.36648041,317.0925031,0.903875611,17.10564202,6.239819575,0.000137726,16.37329899,0.568221365,1.215112665,0.551669365,0.153984959,9.02E-05,0.329565099,26.68800847,0.000112549,9.05E-05,551.9368715,29.04930903
Goatgrass,sVisitsP,0,69.19681894,18.3266598,50.97559617,26.2989734,274.4112592,0.827561931,16.96687808,6.61010963,0.000132019,14.26719674,0.465095195,1.235848094,0.59426261,0.146370326,9.36E-05,0.35547219,28.23430602,0.00018,6.80E-05,508.912882,26.78488852
Goatgrass,sVisitsP,0,68.62460685,16.52246516,51.73952989,24.72724874,305.6881274,0.772121891,16.08754002,6.690702319,0.000127472,14.50621016,0.508407587,1.3517068,0.55916492,0.176173778,4.82E-05,0.343347561,26.23240081,0.000115655,7.59E-05,534.5301211,28.13316427
Goatgrass,sVisitsP,0,64.11078474,19.40242342,57.63987863,26.74503269,273.5574581,0.954391946,19.1843698,7.351367085,0.000124168,14.86253296,0.547709531,1.313411286,0.57161131,0.163371757,6.37E-05,0.334246666,27.74720157,0.000102266,0.000136844,514.4862185,27.07822203
Goatgrass,sVisitsP,0,72.54913592,16.82427164,59.64094093,27.28641882,270.8339294,0.890700564,16.97217178,7.426802468,0.000279491,14.88743556,0.513962171,1.368978657,0.531403585,0.180108052,9.12E-05,0.325933984,26.1047854,0.000198101,7.79E-05,516.3376256,27.17566451
Goatgrass,sVisitsP,0,61.55723204,18.13014232,52.83443009,24.40151508,314.3180127,0.930458086,16.77082685,6.764339387,0.000284287,16.5490951,0.573161652,1.264458251,0.519866865,0.162379055,0.000121174,0.379213573,26.3039381,0.000196091,0.000190816,541.4598615,28.49788745
Goatgrass,sVisitsP,0,66.88042792,15.92863801,59.53188693,25.62989799,313.7638429,0.871857854,18.10733592,6.614912852,0.000284206,13.26800882,0.497995937,1.4020537,0.578699797,0.179306092,7.82E-05,0.323600903,29.13305579,0.000134793,0.000155902,552.7121745,29.09011445
Goatgrass,sVisitsP,0,61.72569894,16.41895046,58.91404493,25.38935318,251.276115,0.786071161,18.02480688,6.338201456,0.000290271,14.15392411,0.551278936,1.294898095,0.527362674,0.162563955,5.76E-05,0.352034042,26.52382349,9.11E-05,9.04E-05,482.4396566,25.39156087
Goatgrass,sVisitsP,0,71.60394019,16.6027868,54.03496299,25.76564931,276.6858452,0.811256839,17.85898964,6.591362846,0.000269175,13.89566288,0.470583978,1.339880576,0.608588438,0.160981215,7.55E-05,0.329019878,25.21917972,0.000132203,0.000139652,511.979307,26.94627932
Goatgrass,sVisitsP,0,64.65641621,18.32942433,60.17261297,24.38203851,293.4616994,0.909359235,18.70593008,6.307773979,0.000279337,15.42976612,0.51292814,1.423057871,0.525205432,0.181466862,5.70E-05,0.347350114,25.28501965,0.000126942,8.10E-05,530.6305931,27.92792595
Goatgrass,sVisitsP,0,60.62586185,16.26403074,50.45674889,23.80666314,278.3540341,0.913938216,18.39117785,7.031058978,0.000134174,14.91671349,0.508658698,1.350144897,0.55974896,0.173124157,4.77E-05,0.383505224,28.67895611,0.000119794,0.000108057,502.4147751,26.4428829
Goatgrass,sVisitsP,0,63.4796721,19.05512034,52.71868276,28.49776308,302.8794024,0.894029925,17.91025479,7.298563816,0.000299366,16.92214571,0.53387683,1.423976839,0.61783749,0.193376549,5.02E-05,0.407297616,27.58223602,0.000128184,7.07E-05,540.4147848,28.44288341
